,rank,rank,rank,rank,rank
long-chain primary fatty alcohol,250.0,,250.0,250.0,0.0
long chain primary alcohol,250.0,,250.0,250.0,0.0
bile acid conjugate,250.43,59.59,158.0,322.0,164.0
11-oxo steroid,250.57,52.56,158.0,313.0,155.0
N-(long-chain-acyl)ethanolamine,252.0,,252.0,252.0,0.0
very long-chain fatty alcohol,253.0,,253.0,253.0,0.0
very long-chain fatty acyl-CoA(4-),254.0,,254.0,254.0,0.0
lysophosphatidylethanolamine,254.0,,254.0,254.0,0.0
very long-chain acyl-CoA(4-),254.0,,254.0,254.0,0.0
monothioacetal,254.0,,254.0,254.0,0.0
omega-hydroxy fatty acid anion,254.0,,254.0,254.0,0.0
N-(fatty acyl)-ethanolamine,254.0,,254.0,254.0,0.0
N-(2-naphthyl)carboxamide,254.0,,254.0,254.0,0.0
lysophosphatidylserine,254.0,,254.0,254.0,0.0
3-oxoacyl-CoA(4-),254.0,,254.0,254.0,0.0
omega-hydroxy-long-chain fatty acid anion,254.0,,254.0,254.0,0.0
C4-dicarboxylate,254.0,,254.0,254.0,0.0
monoalkylglycerophosphocholine,254.0,,254.0,254.0,0.0
4'-methoxyisoflavones,254.0,,254.0,254.0,0.0
7-hydroxyflavonol,254.0,,254.0,254.0,0.0
trichothecene,254.0,,254.0,254.0,0.0
homoallylic alcohol,254.0,,254.0,254.0,0.0
acyl-sn-glycero-3-phosphocholine,254.0,,254.0,254.0,0.0
primary carboxamide,254.0,,254.0,254.0,0.0
primary arylamine,254.0,,254.0,254.0,0.0
primary alpha-hydroxy ketone,254.0,,254.0,254.0,0.0
primary allylic alcohol,254.0,,254.0,254.0,0.0
penicillinate anion,254.0,,254.0,254.0,0.0
enal,254.0,,254.0,254.0,0.0
enamide,254.0,,254.0,254.0,0.0
tertiary allylic alcohol,254.0,,254.0,254.0,0.0
polyunsaturated dicarboxylic acid dianion,254.0,,254.0,254.0,0.0
isoflavanones,254.0,,254.0,254.0,0.0
phenyl sulfate oxoanion,254.0,,254.0,254.0,0.0
flavans,254.0,,254.0,254.0,0.0
hydroquinones,254.0,,254.0,254.0,0.0
hydroperoxy polyunsaturated fatty acid anion,254.0,,254.0,254.0,0.0
guanidinium ion,254.0,,254.0,254.0,0.0
hydroperoxy polyunsaturated fatty acid,254.0,,254.0,254.0,0.0
isoflavans,254.0,,254.0,254.0,0.0
leucoanthocyanidin,254.0,,254.0,254.0,0.0
primary fatty amide,254.0,,254.0,254.0,0.0
coumestans,254.0,,254.0,254.0,0.0
terminal acetylenic compound,254.0,,254.0,254.0,0.0
"alkyl,acyl-sn-glycero-3-phosphocholine",254.0,,254.0,254.0,0.0
allenes,254.0,,254.0,254.0,0.0
allylic alcohol,254.0,,254.0,254.0,0.0
steroidal acyl-CoA(4-),254.0,,254.0,254.0,0.0
lysophosphatidylcholine,254.0,,254.0,254.0,0.0
lysophosphatidic acid,254.0,,254.0,254.0,0.0
pyrrolidin-2-ones,254.0,,254.0,254.0,0.0
aurones,254.0,,254.0,254.0,0.0
secondary carboxamide,254.0,,254.0,254.0,0.0
secondary allylic alcohol,254.0,,254.0,254.0,0.0
long-chain alkane,254.0,,254.0,254.0,0.0
saturated fatty aldehyde,254.0,,254.0,254.0,0.0
saturated fatty acyl-CoA,254.0,,254.0,254.0,0.0
rotenones,254.0,,254.0,254.0,0.0
carbohydrazide,254.0,,254.0,254.0,0.0
(2S)-flavan-4-one,254.0,,254.0,254.0,0.0
phytosterols,254.71,59.62,158.0,338.0,180.0
3-oxo-5beta-steroid,261.29,60.85,158.0,333.0,175.0
semisynthetic derivative,268.86,51.82,219.0,337.0,118.0
